KODE_KANTOR;KODE_JENIS_PINJAM;KETERANGAN_JENIS_PINJAM;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOVEMBER;DESEMBER
3;8;KREDIT ANGSURAN TETAP KHALIFAH ( KATK );307.803;2.301.646;561.700;527.726;493.173;458.031;422.292;385.943;348.971;311.376;294.344;277.014
3;12;KREDIT LINKAGE ANGSURAN TETAP (KAT);3.349.319;6.448.252;1.419.103;4.577.600;3.147.439;2.674.160;2.118.874;15.197.439;2.338.289;1.838.849;13.079.311;1.648.156
3;23;KREDIT TNI/POLRI;218.868.135;211.638.956;219.481.757;206.077.181;237.273.967;207.267.118;214.321.185;190.949.049;184.061.853;186.712.270;166.840.818;163.575.619
3;24;KREDIT KOPi 2;55.354.291;50.564.122;105.367.499;50.842.090;105.619.586;84.399.865;103.318.709;122.161.347;131.765.828;141.750.808;152.515.743;164.021.840
3;25;KREDIT SERTIFIKASI/TUKIN KARYAWAN;2.043.548;1.579.032;6.750.000;1.617.742;1.610.000;1.367.742;2.785.000;3.475.000;11.184.139;5.225.028;3.836.978;9.768.919
4;1;KREDIT ANGSURAN TETAP (KAT);268.375.480;257.416.044;271.295.627;288.980.191;263.000.452;305.178.865;279.980.674;271.961.070;264.834.509;268.095.351;240.234.583;252.339.354
4;2;KREDIT POKOK TETAP (KPT);13.616.664;9.472.220;11.103.373;7.749.999;2.250.000;1.833.333;4.275.000;2.250.000;;2.250.000;;
4;3;KREDIT TETAP KARYAWAN (KTK);3.727.361;5.447.968;5.355.110;5.330.741;3.948.447;6.962.141;8.482.523;5.540.674;5.477.773;5.403.657;5.350.869;5.276.601
4;6;KREDIT SINDIKASI ANGSURAN TETAP (KAT);6.931.431;4.120.222;4.864.621;2.327.012;9.710.298;2.181.272;11.585.599;;6.667.359;4.313.307;206.072.242;3.496.559
4;7;KREDIT SINDIKASI POKOK TETAP (KPT);3.789.775;3.473.963;3.158.150;611.255;3.158.150;3.158.150;3.158.150;3.158.150;611.255;1.894.900;1.894.900;1.263.275
4;8;KREDIT ANGSURAN TETAP KHALIFAH ( KATK );13.494.643;15.826.333;15.046.518;16.009.025;16.472.078;14.799.276;14.332.796;14.268.534;15.422.820;14.266.499;12.474.221;12.492.289
4;9;KREDIT POKOK TETAP KHALIFAH ( KPTK );;;;;;;;;;;;
4;24;KREDIT KOPi 2;160.109.123;147.788.954;137.827.859;180.798.329;188.148.276;196.446.876;198.218.524;249.345.575;236.315.703;262.979.272;280.866.102;327.399.174
4;25;KREDIT SERTIFIKASI/TUKIN KARYAWAN;5.096.238;6.291.668;13.944.792;6.212.742;9.210.973;7.204.354;10.028.330;10.105.403;12.112.551;16.519.244;12.056.630;14.056.111
5;1;KREDIT ANGSURAN TETAP (KAT);226.121.349;228.891.870;243.135.404;248.428.529;241.399.779;241.078.496;250.650.761;234.145.948;226.693.338;266.974.524;223.577.060;221.704.107
5;3;KREDIT TETAP KARYAWAN (KTK);2.142.412;2.110.499;1.932.440;2.050.984;3.265.971;3.346.331;3.225.758;4.020.407;3.161.567;3.047.869;3.069.565;2.956.817
5;8;KREDIT ANGSURAN TETAP KHALIFAH ( KATK );318.558;297.883;;532.287;;;233.661;1.086.500;;1.046.298;1.660.493;802.512
5;24;KREDIT KOPi 2;28.711.989;51.133.198;48.003.186;30.900.592;41.584.097;43.964.752;65.456.628;56.234.453;69.982.262;90.530.236;85.145.972;82.755.703
5;25;KREDIT SERTIFIKASI/TUKIN KARYAWAN;1.925.000;5.431.451;2.710.804;2.654.139;4.401.554;7.123.843;11.365.720;18.508.074;6.392.993;8.743.538;8.538.152;12.770.487
6;1;KREDIT ANGSURAN TETAP (KAT);78.202.616;82.838.093;58.995.198;55.345.096;54.911.132;44.648.142;46.891.124;43.348.737;41.824.581;47.190.463;295.202.436;38.902.643
6;3;KREDIT TETAP KARYAWAN (KTK);1.316.388;1.283.512;1.148.989;1.482.961;1.420.539;1.418.967;1.023.888;1.026.387;999.271;944.145;1.166.229;1.106.322
6;5;KREDIT TANPA POTONGAN ( KTP );;;287.275;158.293;404.192;;;128.244;232.742;;406.916;
6;8;KREDIT ANGSURAN TETAP KHALIFAH ( KATK );11.127.600;11.027.614;11.324.413;12.357.531;9.893.385;11.904.282;12.574.098;12.068.668;12.454.179;10.658.827;13.461.359;16.399.236
6;9;KREDIT POKOK TETAP KHALIFAH ( KPTK );;;;;;;;;;;;
6;12;KREDIT LINKAGE ANGSURAN TETAP (KAT);3.692.312;3.294.210;2.847.199;2.857.770;2.071.617;1.671.717;1.252.246;842.104;422.638;17.500.000;13.226.580;12.776.521
6;24;KREDIT KOPi 2;214.883.397;236.691.916;277.238.279;174.433.194;320.752.961;254.806.416;317.312.427;306.644.481;334.285.203;328.891.735;357.628.586;427.308.095
6;25;KREDIT SERTIFIKASI/TUKIN KARYAWAN;1.250.000;1.250.000;1.400.000;1.600.000;1.413.333;1.419.355;1.507.083;1.528.226;1.528.226;1.507.083;1.708.871;1.343.750
